graph,duration,modularity,communities_number,reorder_id,node_type
main_comp/inet,43.506756,0.721962,206,27589,min_degree
main_comp/inet,43.554630,0.721962,206,28862,min_degree
main_comp/inet,43.730381,0.721962,206,35299,min_degree
main_comp/inet,43.910637,0.721962,206,37048,min_degree
main_comp/inet,43.733452,0.721962,206,41200,min_degree
main_comp/inet,49.275478,0.733372,167,2,max_degree
main_comp/inet,45.342075,0.725383,265,165547,center
main_comp/inet,43.648731,0.726560,256,208405,center
main_comp/inet,60.598640,0.727648,178,208406,center
main_comp/inet,40.067780,0.729594,203,1511903,peripheral
main_comp/inet,49.567352,0.733372,167,1717718,peripheral
main_comp/ip,71.240929,0.320195,80,1,max_degree
main_comp/ip,113.271011,0.320939,100,722,min_degree
main_comp/ip,64.929459,0.319881,97,825,min_degree
main_comp/ip,110.186020,0.318975,82,858,min_degree
main_comp/ip,89.524841,0.320939,100,860,min_degree
main_comp/ip,72.642014,0.322209,37,86,center
main_comp/ip,71.350868,0.320195,80,192554,peripheral
main_comp/ip,83.830559,0.320422,88,1042594,peripheral
main_comp/ip,71.421684,0.320195,80,1806604,peripheral
main_comp/p2p,980.251160,0.495739,9,4027,min_degree
main_comp/p2p,1000.979858,0.495739,9,4092,min_degree
main_comp/p2p,1001.135132,0.495739,9,4333,min_degree
main_comp/p2p,996.689697,0.495739,9,4342,min_degree
main_comp/p2p,995.735291,0.495739,9,4345,min_degree
main_comp/p2p,858.016235,0.491474,8,1,max_degree
main_comp/p2p,1395.894653,0.499244,9,17444,center
main_comp/p2p,962.685120,0.499837,9,18632,center
main_comp/p2p,688.918823,0.495804,7,4638343,center
main_comp/p2p,1012.178894,0.492102,9,89448,center
main_comp/p2p,1132.695679,0.485594,8,129670,center
main_comp/p2p,482.962433,0.499039,8,2824085,center
main_comp/p2p,981.759521,0.496781,9,30438,center
main_comp/p2p,781.811218,0.495592,8,1432588,center
main_comp/p2p,1204.610962,0.495889,8,2778934,center
main_comp/p2p,711.598633,0.491444,8,135496,peripheral
